Gulf of Mexico Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1950,0.20
1951,0.07
1952,0.01
1953,0.24
1954,0.19
1955,0.24
1956,0.11
1957,0.51
1958,0.11
1959,0.11
1960,0.03
1961,-0.07
1962,0.21
1963,-0.01
1964,-0.22
1965,0.00
1966,-0.26
1967,-0.11
1968,-0.22
1969,-0.09
1970,-0.41
1971,-0.09
1972,0.27
1973,-0.03
1974,-0.02
1975,0.10
1976,-0.34
1977,0.02
1978,-0.03
1979,-0.15
1980,0.14
1981,-0.09
1982,0.39
1983,0.01
1984,-0.47
1985,0.09
1986,0.12
1987,-0.16
1988,-0.34
1989,0.17
1990,0.24
1991,0.21
1992,-0.29
1993,-0.14
1994,0.18
1995,0.21
1996,-0.18
1997,0.16
1998,0.14
1999,0.25
2000,0.38
2001,0.18
2002,0.38
2003,0.23
2004,0.38
2005,0.24
2006,0.37
2007,0.23
2008,0.11
2009,0.37
2010,-0.18
2011,0.18
2012,0.57
2013,0.22
2014,0.12
2015,0.60
2016,0.87
2017,0.82
2018,0.75
2019,0.77
